volume,files,words
volume--02-repository-evidence-atlas,20,39647
volume-03-end-to-end-global-trade-lifecycle,20,55810
volume-04-portal-and-experience-architecture,53,106051
volume-05-identity-tenant-organization,21,41609
volume-06-commerce-domain-architecture,71,141580
volume-07-fulfilment-supply-chain-domain-architecture,66,131745
volume-08-engagement-communication-architecture,41,81851
volume-09-ai-operating-system,46,91815
volume-10-data-database-reference,36,71720
volume-11-api-event-workflow-tool-contracts,26,51788
volume-12-platform-architecture,17,33825
volume-13-infrastructure-deployment,21,41778
volume-14-security-privacy-compliance,26,51769
volume-15-engineering-handbook,21,41778
volume-16-operations-sre,21,41753
volume-17-testing-verification-conformance,21,41801
volume-18-migration-legacy-evolution,16,31829
volume-19-implementation-profiles,45,89652
volume-20-appendices-generated-reference,30,59810
